field,pig_class,n,mean,median
breath_rate,growing-pig,434,62.684,62.0
breath_rate,piglet,478,63.467,64.0
breath_rate,porker,1209,63.393,64.0
breath_rate,weaningpig,570,64.358,65.0
rectal_temp,growing-pig,434,37.871,37.4
rectal_temp,piglet,478,37.326,37.7
rectal_temp,porker,1209,38.006,37.9
rectal_temp,weaningpig,570,38.141,38.2
back_temp,growing-pig,434,34.814,34.8
back_temp,piglet,478,35.327,35.1
back_temp,porker,1209,34.699,34.5
back_temp,weaningpig,570,35.861,35.5
neck_temp,growing-pig,434,35.203,35.3
neck_temp,piglet,478,35.107,34.8
neck_temp,porker,1209,34.712,34.6
neck_temp,weaningpig,570,33.985,34.4
head_temp,growing-pig,434,35.069,34.6
head_temp,piglet,478,34.758,34.6
head_temp,porker,1209,33.897,34.3
head_temp,weaningpig,570,33.241,33.4
sensible_heat,growing-pig,434,86.228,94.88
sensible_heat,piglet,478,83.167,51.03
sensible_heat,porker,1209,58.396,51.37
sensible_heat,weaningpig,570,118.731,123.31
latent_heat,growing-pig,434,70.528,41.68
latent_heat,piglet,478,48.197,46.29
latent_heat,porker,1209,110.67,74.24
latent_heat,weaningpig,570,52.232,43.7
