,importance
humidity_pct,0.1581
rectal_temp,0.1261
co2_ppm,0.1109
nh3_ppm,0.0857
head_temp,0.0715
back_temp,0.0705
manure,0.0603
temp_c,0.0581
water_supply,0.0552
neck_temp,0.0482
ventilation,0.0412
weight_kg,0.0349
feed_volume,0.0346
keypoint_distance_calc_mean,0.0175
keypoint_distance_mean,0.0078
keypoint_distance_max,0.0064
pig_class_growing-pig,0.006
keypoint_distance_calc_max,0.0039
pig_class_piglet,0.0016
pig_class_porker,0.0009
keypoint_distance_calc_min,0.0005
keypoint_distance_min,0.0001
keypoint_distance_calc_std,0.0
keypoint_distance_std,0.0
insp_ratio,0.0
pig_class_weaningpig,0.0
