,importance
water_supply,0.4837
temp_c,0.107
nh3_ppm,0.0846
neck_temp,0.0596
humidity_pct,0.0495
feed_volume,0.0459
co2_ppm,0.0388
back_temp,0.038
weight_kg,0.0334
ventilation,0.024
manure,0.0177
pig_class_porker,0.0085
head_temp,0.0043
rectal_temp,0.0024
keypoint_distance_calc_mean,0.0009
keypoint_distance_mean,0.0004
keypoint_distance_calc_max,0.0003
keypoint_distance_max,0.0003
keypoint_distance_calc_min,0.0003
keypoint_distance_calc_std,0.0002
pig_class_growing-pig,0.0001
keypoint_distance_min,0.0
keypoint_distance_std,0.0
pig_class_piglet,0.0
insp_ratio,0.0
pig_class_weaningpig,0.0
