,importance
manure,0.3338
feed_volume,0.2626
ventilation,0.0905
water_supply,0.0512
temp_c,0.0489
nh3_ppm,0.0472
pig_class_piglet,0.0407
rectal_temp,0.0271
weight_kg,0.02
back_temp,0.0169
neck_temp,0.0166
head_temp,0.0143
co2_ppm,0.0111
pig_class_growing-pig,0.0056
humidity_pct,0.0055
keypoint_distance_calc_mean,0.0038
keypoint_distance_min,0.0017
keypoint_distance_calc_min,0.0008
keypoint_distance_calc_max,0.0007
keypoint_distance_mean,0.0006
keypoint_distance_max,0.0003
keypoint_distance_calc_std,0.0
keypoint_distance_std,0.0
insp_ratio,0.0
pig_class_porker,0.0
pig_class_weaningpig,0.0
