품목,시도,시군구,k2,적정온도,경고임계,위험임계,결실개시년,경제수명년,현재재배면적_ha,현재단수_kg_ha,현재단가_원kg,시나리오,중심연도,생육기기온,편차,판정,저온요구도
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,관측,2005,19.73,0.03,경고,1184
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp245,2028,21.32,1.62,주의,1010
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp245,2038,21.72,2.02,위험,967
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp245,2048,22.11,2.41,위험,927
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp245,2058,22.49,2.79,위험,890
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp245,2068,22.77,3.07,위험,858
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp245,2078,23.09,3.39,위험,816
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp585,2028,21.49,1.79,주의,1009
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp585,2038,22.05,2.35,위험,936
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp585,2048,22.68,2.98,위험,856
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp585,2058,23.4,3.7,위험,779
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp585,2068,24.16,4.46,위험,674
밤,경북,상주시,상주,19.7,1.3,2.0,5,30,7.6,5379.0,3398.0,ssp585,2078,24.94,5.24,위험,585
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,관측,2005,19.87,0.17,경고,1329
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp245,2028,22.15,2.45,위험,1135
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp245,2038,22.77,3.07,위험,1087
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp245,2048,23.32,3.62,위험,1039
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp245,2058,23.88,4.18,위험,999
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp245,2068,24.28,4.58,위험,969
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp245,2078,24.73,5.03,위험,922
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp585,2028,22.36,2.66,위험,1144
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp585,2038,23.22,3.52,위험,1062
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp585,2048,24.16,4.46,위험,974
밤,경북,청도군,청도,19.7,1.3,2.0,5,30,22.6,2590.0,2798.0,ssp585,2058,25.18,5.48,위험,887
