품목,시도,시군구,k2,시나리오,경고진입,주의진입,위험진입,식재,첫수확,수확종료,현재재배면적_ha,수확기중위험비율
밤,경북,상주시,상주,ssp245,2005,2023.0,2037.0,2026,2031,2061,7.6,80.0
밤,경북,상주시,상주,ssp585,2005,2022.0,2032.0,2026,2031,2061,7.6,96.7
밤,경북,청도군,청도,ssp245,2005,2016.0,2023.0,2026,2031,2061,22.6,100.0
밤,경북,청도군,청도,ssp585,2005,2015.0,2022.0,2026,2031,2061,22.6,100.0
밤,경남,산청군,산청,ssp245,2008,2024.0,2036.0,2026,2031,2061,195.0,83.3
밤,경남,산청군,산청,ssp585,2007,2022.0,2030.0,2026,2031,2061,195.0,100.0
밤,전남,영암군,영암,ssp245,2005,2013.0,2021.0,2026,2031,2061,,100.0
밤,전남,영암군,영암,ssp585,2005,2013.0,2020.0,2026,2031,2061,,100.0
밤,전남,순천시,순천,ssp245,2005,2005.0,2013.0,2026,2031,2061,397.5,100.0
밤,전남,순천시,순천,ssp585,2005,2005.0,2013.0,2026,2031,2061,397.5,100.0
밤,전북,완주군,완주,ssp245,2005,2017.0,2026.0,2026,2031,2061,8.0,100.0
밤,전북,완주군,완주,ssp585,2005,2016.0,2024.0,2026,2031,2061,8.0,100.0
밤,경남,하동군,하동,ssp245,2005,2005.0,2014.0,2026,2031,2061,846.5,100.0
밤,경남,하동군,하동,ssp585,2005,2005.0,2013.0,2026,2031,2061,846.5,100.0
밤,경남,함양군,함양,ssp245,2008,2024.0,2036.0,2026,2031,2061,275.0,83.3
밤,경남,함양군,함양,ssp585,2007,2022.0,2030.0,2026,2031,2061,275.0,100.0
밤,전남,장성군,장성,ssp245,2005,2019.0,2027.0,2026,2031,2061,8.6,100.0
밤,전남,장성군,장성,ssp585,2005,2018.0,2025.0,2026,2031,2061,8.6,100.0
밤,전남,구례군,구례,ssp245,2005,2014.0,2022.0,2026,2031,2061,390.5,100.0
밤,전남,구례군,구례,ssp585,2005,2013.0,2020.0,2026,2031,2061,390.5,100.0
밤,전남,곡성군,곡성,ssp245,2005,2018.0,2026.0,2026,2031,2061,20.8,100.0
밤,전남,곡성군,곡성,ssp585,2005,2016.0,2024.0,2026,2031,2061,20.8,100.0
밤,경남,진주시,진주,ssp245,2005,2017.0,2026.0,2026,2031,2061,161.8,100.0
밤,경남,진주시,진주,ssp585,2005,2016.0,2024.0,2026,2031,2061,161.8,100.0
밤,경북,구미시,구미,ssp245,2005,2018.0,2028.0,2026,2031,2061,3.9,100.0
밤,경북,구미시,구미,ssp585,2005,2017.0,2026.0,2026,2031,2061,3.9,100.0
밤,경남,밀양시,밀양,ssp245,2005,2012.0,2020.0,2026,2031,2061,61.8,100.0
밤,경남,밀양시,밀양,ssp585,2005,2012.0,2018.0,2026,2031,2061,61.8,100.0
밤,경북,의성군,의성,ssp245,2014,2033.0,2049.0,2026,2031,2061,26.7,40.0
밤,경북,의성군,의성,ssp585,2014,2029.0,2040.0,2026,2031,2061,26.7,70.0
밤,경남,함안군,함안,ssp245,2005,2016.0,2024.0,2026,2031,2061,8.1,100.0
밤,경남,함안군,함안,ssp585,2005,2015.0,2023.0,2026,2031,2061,8.1,100.0
밤,경북,김천시,김천,ssp245,2005,2020.0,2031.0,2026,2031,2061,11.4,100.0
밤,경북,김천시,김천,ssp585,2005,2019.0,2027.0,2026,2031,2061,11.4,100.0
밤,충남,논산시,논산,ssp245,2005,2021.0,2032.0,2026,2031,2061,40.3,96.7
밤,충남,논산시,논산,ssp585,2005,2020.0,2028.0,2026,2031,2061,40.3,100.0
밤,전북,순창군,순창,ssp245,2005,2018.0,2025.0,2026,2031,2061,308.9,100.0
밤,전북,순창군,순창,ssp585,2005,2016.0,2023.0,2026,2031,2061,308.9,100.0
밤,전남,나주시,나주,ssp245,2005,2013.0,2021.0,2026,2031,2061,3.3,100.0
밤,전남,나주시,나주,ssp585,2005,2012.0,2020.0,2026,2031,2061,3.3,100.0
밤,경북,예천군,예천,ssp245,2015,2037.0,2054.0,2026,2031,2061,1.7,23.3
밤,경북,예천군,예천,ssp585,2014,2031.0,2043.0,2026,2031,2061,1.7,60.0
밤,경북,문경시,문경,ssp245,2019,2045.0,2065.0,2026,2031,2061,3.5,0.0
밤,경북,문경시,문경,ssp585,2018,2037.0,2048.0,2026,2031,2061,3.5,43.3
밤,충북,옥천군,옥천,ssp245,2010,2031.0,2049.0,2026,2031,2061,6.1,40.0
밤,충북,옥천군,옥천,ssp585,2010,2027.0,2039.0,2026,2031,2061,6.1,73.3
밤,충북,보은군,보은,ssp245,2025,2057.0,,2026,2031,2061,8.8,0.0
밤,충북,보은군,보은,ssp585,2023,2044.0,2055.0,2026,2031,2061,8.8,20.0
밤,경남,의령군,의령,ssp245,2005,2019.0,2028.0,2026,2031,2061,49.1,100.0
밤,경남,의령군,의령,ssp585,2005,2017.0,2025.0,2026,2031,2061,49.1,100.0
밤,전북,정읍시,정읍,ssp245,2005,2016.0,2024.0,2026,2031,2061,5.7,100.0
밤,전북,정읍시,정읍,ssp585,2005,2015.0,2023.0,2026,2031,2061,5.7,100.0
밤,충남,부여군,부여,ssp245,2007,2023.0,2034.0,2026,2031,2061,3178.9,90.0
밤,충남,부여군,부여,ssp585,2006,2021.0,2030.0,2026,2031,2061,3178.9,100.0
밤,전북,부안군,부안,ssp245,2006,2023.0,2035.0,2026,2031,2061,,86.7
밤,전북,부안군,부안,ssp585,2006,2021.0,2030.0,2026,2031,2061,,100.0
밤,강원,강릉시,강릉,ssp245,2005,2019.0,2026.0,2026,2031,2061,15.5,100.0
밤,강원,강릉시,강릉,ssp585,2005,2018.0,2025.0,2026,2031,2061,15.5,100.0
밤,경북,경산시,경산,ssp245,2005,2005.0,2013.0,2026,2031,2061,3.3,100.0
밤,경북,경산시,경산,ssp585,2005,2005.0,2012.0,2026,2031,2061,3.3,100.0
밤,전남,보성군,보성,ssp245,2012,2026.0,2036.0,2026,2031,2061,44.0,83.3
밤,전남,보성군,보성,ssp585,2012,2024.0,2031.0,2026,2031,2061,44.0,100.0
밤,전북,고창군,고창,ssp245,2005,2020.0,2030.0,2026,2031,2061,6.8,100.0
밤,전북,고창군,고창,ssp585,2005,2018.0,2027.0,2026,2031,2061,6.8,100.0
밤,전남,무안군,무안,ssp245,2005,2019.0,2028.0,2026,2031,2061,3.5,100.0
밤,전남,무안군,무안,ssp585,2005,2018.0,2026.0,2026,2031,2061,3.5,100.0
밤,충북,충주시,충주,ssp245,2013,2036.0,2055.0,2026,2031,2061,884.9,20.0
밤,충북,충주시,충주,ssp585,2012,2030.0,2043.0,2026,2031,2061,884.9,60.0
밤,경남,합천군,합천,ssp245,2005,2018.0,2027.0,2026,2031,2061,395.6,100.0
밤,경남,합천군,합천,ssp585,2005,2017.0,2024.0,2026,2031,2061,395.6,100.0
밤,경남,거창군,거창,ssp245,2018,2039.0,2055.0,2026,2031,2061,103.3,20.0
밤,경남,거창군,거창,ssp585,2016,2032.0,2043.0,2026,2031,2061,103.3,60.0
밤,전남,영광군,영광,ssp245,2005,2020.0,2030.0,2026,2031,2061,19.9,100.0
밤,전남,영광군,영광,ssp585,2005,2018.0,2027.0,2026,2031,2061,19.9,100.0
밤,경남,창원시,창원,ssp245,2005,2007.0,2015.0,2026,2031,2061,28.3,100.0
밤,경남,창원시,창원,ssp585,2005,2007.0,2014.0,2026,2031,2061,28.3,100.0
밤,충남,공주시,공주,ssp245,2005,2020.0,2030.0,2026,2031,2061,3569.8,100.0
밤,충남,공주시,공주,ssp585,2005,2019.0,2027.0,2026,2031,2061,3569.8,100.0
밤,전남,해남군,해남,ssp245,2005,2019.0,2027.0,2026,2031,2061,,100.0
밤,전남,해남군,해남,ssp585,2005,2018.0,2025.0,2026,2031,2061,,100.0
밤,전북,남원시,남원,ssp245,2008,2024.0,2035.0,2026,2031,2061,15.6,86.7
밤,전북,남원시,남원,ssp585,2007,2022.0,2030.0,2026,2031,2061,15.6,100.0
밤,전남,강진군,강진,ssp245,2005,2013.0,2021.0,2026,2031,2061,,100.0
밤,전남,강진군,강진,ssp585,2005,2013.0,2020.0,2026,2031,2061,,100.0
밤,전북,임실군,임실,ssp245,2022,2044.0,2060.0,2026,2031,2061,36.5,3.3
밤,전북,임실군,임실,ssp585,2020,2036.0,2046.0,2026,2031,2061,36.5,50.0
밤,전북,진안군,진안,ssp245,2029,2058.0,,2026,2031,2061,1.9,0.0
밤,전북,진안군,진안,ssp585,2026,2045.0,2054.0,2026,2031,2061,1.9,23.3
밤,경북,안동시,안동,ssp245,2009,2025.0,2039.0,2026,2031,2061,1.7,73.3
밤,경북,안동시,안동,ssp585,2009,2024.0,2033.0,2026,2031,2061,1.7,93.3
밤,전남,담양군,담양,ssp245,2005,2017.0,2026.0,2026,2031,2061,8.5,100.0
밤,전남,담양군,담양,ssp585,2005,2016.0,2024.0,2026,2031,2061,8.5,100.0
밤,전북,김제시,김제,ssp245,2005,2015.0,2024.0,2026,2031,2061,0.5,100.0
밤,전북,김제시,김제,ssp585,2005,2014.0,2023.0,2026,2031,2061,0.5,100.0
밤,전남,화순군,화순,ssp245,2005,2014.0,2021.0,2026,2031,2061,3.9,100.0
밤,전남,화순군,화순,ssp585,2005,2013.0,2020.0,2026,2031,2061,3.9,100.0
밤,경남,고성군,고성,ssp245,2005,2010.0,2018.0,2026,2031,2061,63.4,100.0
밤,경남,고성군,고성,ssp585,2005,2009.0,2016.0,2026,2031,2061,63.4,100.0
밤,전북,무주군,무주,ssp245,2018,2039.0,2055.0,2026,2031,2061,3.4,20.0
밤,전북,무주군,무주,ssp585,2016,2032.0,2043.0,2026,2031,2061,3.4,60.0
밤,충남,보령시,보령,ssp245,2009,2024.0,2035.0,2026,2031,2061,65.4,86.7
밤,충남,보령시,보령,ssp585,2009,2023.0,2031.0,2026,2031,2061,65.4,100.0
밤,경북,성주군,성주,ssp245,2005,2018.0,2027.0,2026,2031,2061,1.1,100.0
밤,경북,성주군,성주,ssp585,2005,2016.0,2024.0,2026,2031,2061,1.1,100.0
